STATION;NAME;LATITUDE;LONGITUDE;ELEVATION;DATE;CDSD;CDSD_ATTRIBUTES;CLDD;CLDD_ATTRIBUTES;DP01;DP01_ATTRIBUTES;DP10;DP10_ATTRIBUTES;DSND;DSND_ATTRIBUTES;DT00;DT00_ATTRIBUTES;DT32;DT32_ATTRIBUTES;DX32;DX32_ATTRIBUTES;DX70;DX70_ATTRIBUTES;DX90;DX90_ATTRIBUTES;EMNT;EMNT_ATTRIBUTES;EMSD;EMSD_ATTRIBUTES;EMXP;EMXP_ATTRIBUTES;EMXT;EMXT_ATTRIBUTES;HDSD;HDSD_ATTRIBUTES;HTDD;HTDD_ATTRIBUTES;PRCP;PRCP_ATTRIBUTES;TAVG;TAVG_ATTRIBUTES;TMAX;TMAX_ATTRIBUTES;TMIN;TMIN_ATTRIBUTES
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2015-06;208.2;E;155.4;,E;7;,E;5;,E;;;0;,E;0;,E;0;,E;30;,E;18;,E;10.5;,E,16,;;;19.9;,,E,11,;40.4;,E,29,;1782.5;E;4.3;,E;49.7;,,,E;23.4;,E;31.6;,,,E;15.1;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2015-07;531.2;E;323.0;,E;1;1,E;0;1,E;;;0;,E;0;,E;0;,E;31;,E;31;,E;17.8;,E,10,;;;0.5;1,,E,17,;40.4;,E,06,;0.0;E;0.0;,E;0.5;1,,,E;28.8;,E;37.4;,,,E;20.1;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2015-08;745.9;E;214.7;,E;2;1,E;1;1,E;;;0;,E;0;,E;0;,E;31;,E;22;,E;10.9;,E,25,;;;3.1;1,,E,30,;38.1;,E,06,;0.0;E;0.0;,E;3.8;1,,,E;25.3;,E;33.2;,,,E;17.3;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2015-09;801.4;E;55.5;,E;3;,E;1;,E;;;0;,E;0;,E;0;,E;29;,E;0;,E;7.8;,E,18,;;;9.5;,,E,16,;30.7;,E,02,;7.2;E;7.2;,E;10.9;,,,E;19.9;,E;27.3;,,,E;12.6;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2015-10;804.3;E;2.9;,E;8;,E;3;,E;;;0;,E;0;,E;0;,E;19;,E;0;,E;2.8;,E,15,;;;21.6;,,E,05,;26.0;,E,01,;102.3;E;95.1;,E;46.6;,,,E;15.4;,E;21.3;,,,E;9.4;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2015-11;804.3;E;0.0;,E;4;1,E;2;1,E;;;0;,E;4;,E;0;,E;9;,E;0;,E;-3.3;,E,30,;;;10.2;1,,E,01,;24.1;,E,07,;308.6;E;206.3;,E;18.2;1,,,E;11.5;,E;18.3;,,,E;4.6;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2015-12;804.3;E;0.0;,E;3;,E;0;,E;;;0;,E;9;,E;0;,E;0;,E;0;,E;-4.4;,E,01,;;;2.1;,,E,28,;18.4;,E,05,+;619.1;E;310.5;,E;2.9;,,,E;8.3;,E;15.1;,,,E;1.6;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2016-01;0.0;E;0.0;,E;8;3,E;4;3,E;;;0;,E;5;,E;0;,E;0;,E;0;,E;-4.9;,E,17,;;;10.4;3,,E,10,;20.3;,E,24,;948.1;E;329.0;,E;28.0;3,,,E;7.7;,E;12.1;,,,E;3.3;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2016-02;0.0;E;0.0;,E;8;1,E;3;1,E;;;0;,E;11;,E;0;,E;0;,E;0;,E;-6.1;,E,17,;;;10.0;1,,E,06,;17.8;,E,01,;1270.0;E;321.9;,E;25.6;1,,,E;7.2;,E;12.8;,,,E;1.7;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2016-03;0.0;E;0.0;,E;8;1,E;3;1,E;;;0;,E;14;,E;0;,E;1;,E;0;,E;-3.4;,E,12,;;;26.1;1,,E,21,;23.1;,E,30,;1589.4;E;319.4;,E;52.6;1,,,E;8.0;,E;15.3;,,,E;0.8;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2016-04;0.0;E;0.0;,E;14;1,E;9;1,E;;;0;,E;2;,E;0;,E;3;,E;0;,E;-1.6;,E,02,;;;24.6;1,,E,19,;22.5;,E,26,+;1802.9;E;213.5;,E;105.7;1,,,E;11.2;,E;17.3;,,,E;5.1;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2016-05;2.3;E;2.3;,E;11;,E;8;,E;;;0;,E;0;,E;0;,E;19;,E;0;,E;0.5;,E,02,;;;14.2;,,E,08,;29.3;,E,21,;1909.6;E;106.7;,E;66.0;,,,E;15.0;,E;21.8;,,,E;8.1;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2016-06;123.8;E;121.5;,E;1;1,E;0;1,E;;;0;,E;0;,E;0;,E;30;,E;15;,E;6.6;,E,02,;;;1.1;1,,E,28,;36.4;,E,28,;1919.7;E;10.1;,E;1.1;1,,,E;22.1;,E;31.0;,,,E;13.1;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2016-07;383.8;E;260.0;,E;2;,E;1;,E;;;0;,E;0;,E;0;,E;31;,E;28;,E;11.9;,E,14,;;;4.0;,,E,06,;39.1;,E,29,;0.0;E;0.0;,E;5.3;,,,E;26.7;,E;35.8;,,,E;17.6;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2016-08;624.0;E;240.2;,E;0;1,E;0;1,E;;;0;,E;0;,E;0;,E;31;,E;29;,E;14.2;,E,15,;;;0.0;1,,E,31,+;37.9;,E,03,;0.0;E;0.0;,E;0.0;1,,,E;26.1;,E;35.1;,,,E;17.0;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2016-09;738.1;E;114.1;,E;1;1,E;1;1,E;;;0;,E;0;,E;0;,E;28;,E;11;,E;7.3;,E,19,;;;6.5;1,,E,13,;40.0;,E,06,;11.6;E;11.6;,E;6.5;1,,,E;21.8;,E;30.2;,,,E;13.3;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2016-10;746.6;E;8.5;,E;9;1,E;6;1,E;;;0;,E;0;,E;0;,E;20;,E;0;,E;2.5;,E,31,;;;19.0;1,,E,22,;29.6;,E,06,+;78.2;E;66.6;,E;63.6;1,,,E;16.5;,E;23.3;,,,E;9.6;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2016-11;746.6;E;0.0;,E;11;2,E;11;2,E;;;0;,E;4;,E;0;,E;2;,E;0;,E;-0.6;,E,16,;;;14.2;2,,E,05,;22.3;,E,02,;361.8;E;283.6;,E;83.6;2,,,E;8.9;,E;14.2;,,,E;3.6;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2016-12;746.6;E;0.0;,E;5;1,E;2;1,E;;;0;,E;9;,E;0;,E;0;,E;0;,E;-6.8;,E,31,;;;5.4;1,,E,03,;17.3;,E,27,;700.2;E;338.4;,E;15.0;1,,,E;7.4;,E;13.0;,,,E;1.8;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2017-01;0.0;E;0.0;,E;3;1,E;2;1,E;;;0;,E;22;,E;0;,E;0;,E;0;,E;-7.2;,E,18,;;;8.7;1,,E,26,;16.9;,E,11,;1121.8;E;421.6;,E;14.7;1,,,E;4.7;,E;10.8;,,,E;-1.3;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2017-02;0.0;E;0.0;,E;9;,E;6;,E;;;0;,E;6;,E;0;,E;0;,E;0;,E;-2.1;,E,10,+;;;7.8;,,E,12,;20.0;,E,22,;1400.4;E;278.6;,E;34.3;,,,E;8.4;,E;13.8;,,,E;3.0;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2017-03;0.0;E;0.0;,E;5;1,E;3;1,E;;;0;,E;2;,E;0;,E;10;,E;0;,E;-0.9;,E,23,;;;5.7;1,,E,25,;26.8;,E,10,;1629.8;E;229.4;,E;14.1;1,,,E;10.9;,E;18.3;,,,E;3.6;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2017-04;0.4;E;0.4;,E;5;,E;1;,E;;;0;,E;0;,E;0;,E;20;,E;0;,E;0.6;,E,21,;;;3.6;,,E,29,;28.2;,E,12,;1754.1;E;124.3;,E;9.2;,,,E;14.2;,E;22.8;,,,E;5.6;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2017-05;58.6;E;58.2;,E;6;1,E;3;1,E;;;0;,E;0;,E;0;,E;28;,E;6;,E;1.4;,E,01,;;;13.9;1,,E,10,;33.9;,E,27,;1795.3;E;41.2;,E;23.9;1,,,E;18.9;,E;26.9;,,,E;10.9;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2017-06;276.7;E;218.1;,E;4;3,E;2;3,E;;;0;,E;0;,E;0;,E;30;,E;21;,E;9.1;,E,30,;;;3.5;3,,E,16,;40.4;,E,17,;1798.6;E;3.3;,E;9.3;3,,,E;25.5;,E;34.1;,,,E;16.9;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2017-07;509.1;E;232.4;,E;4;,E;3;,E;;;0;,E;0;,E;0;,E;31;,E;24;,E;11.1;,E,01,;;;26.7;,,E,07,;41.4;,E,13,;0.4;E;0.4;,E;62.1;,,,E;25.8;,E;34.1;,,,E;17.5;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2017-08;747.2;E;238.1;,E;2;,E;1;,E;;;0;,E;0;,E;0;,E;31;,E;22;,E;11.0;,E,10,;;;18.9;,,E,28,;39.8;,E,05,;0.4;E;0.0;,E;20.1;,,,E;26.0;,E;34.0;,,,E;18.0;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2017-09;825.5;E;78.3;,E;0;,E;0;,E;;;0;,E;0;,E;0;,E;30;,E;3;,E;5.6;,E,17,;;;0.0;,,E,30,+;33.6;,E,06,;9.0;E;8.6;,E;0.0;,,,E;20.7;,E;28.8;,,,E;12.5;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2017-10;855.5;E;30.0;,E;3;,E;2;,E;;;0;,E;0;,E;0;,E;25;,E;0;,E;5.0;,E,29,;;;15.4;,,E,17,;31.6;,E,05,;55.9;E;46.9;,E;28.8;,,,E;17.8;,E;26.1;,,,E;9.4;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2017-11;855.5;E;0.0;,E;4;,E;0;,E;;;0;,E;14;,E;0;,E;1;,E;0;,E;-4.8;,E,27,;;;1.1;,,E,28,;21.3;,E,01,;333.8;E;277.9;,E;3.6;,,,E;9.1;,E;16.3;,,,E;1.9;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2017-12;855.5;E;0.0;,E;6;1,E;2;1,E;;;0;,E;19;,E;0;,E;0;,E;0;,E;-6.5;,E,06,;;;9.9;1,,E,10,;17.5;,E,29,;726.0;E;392.2;,E;16.6;1,,,E;5.7;,E;11.6;,,,E;-0.3;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2018-01;0.0;E;0.0;,E;6;,E;4;,E;;;0;,E;16;,E;0;,E;0;,E;0;,E;-2.5;,E,09,;;;22.4;,,E,06,;17.4;,E,21,;1098.6;E;372.6;,E;50.2;,,,E;6.3;,E;11.9;,,,E;0.7;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2018-02;0.0;E;0.0;,E;5;,E;4;,E;;;0;,E;18;,E;0;,E;0;,E;0;,E;-6.5;,E,24,;;;17.4;,,E,27,;17.0;,E,26,;1472.4;E;373.8;,E;50.5;,,,E;5.0;,E;10.8;,,,E;-0.9;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2018-03;0.0;E;0.0;,E;17;1,E;11;1,E;;;0;,E;3;,E;0;,E;2;,E;0;,E;-0.9;,E,21,;;;25.6;1,,E,01,;22.0;,E,28,;1778.5;E;306.1;,E;123.9;1,,,E;8.5;,E;12.8;,,,E;4.1;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2018-04;1.4;E;1.4;,E;12;,E;6;,E;;;0;,E;0;,E;0;,E;10;,E;0;,E;1.8;,E,01,;;;22.3;,,E,10,;29.1;,E,25,;1949.0;E;170.5;,E;56.7;,,,E;12.7;,E;18.9;,,,E;6.5;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2018-05;7.5;E;6.1;,E;12;,E;6;,E;;;0;,E;0;,E;0;,E;24;,E;0;,E;1.5;,E,01,;;;16.2;,,E,28,;29.1;,E,24,;2010.2;E;61.2;,E;51.6;,,,E;16.6;,E;23.5;,,,E;9.6;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2018-06;117.9;E;110.4;,E;10;,E;5;,E;;;0;,E;0;,E;0;,E;25;,E;11;,E;9.4;,E,07,;;;6.4;,,E,01,;37.8;,E,24,;2028.8;E;18.6;,E;30.8;,,,E;21.4;,E;28.6;,,,E;14.2;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2018-07;310.4;E;192.5;,E;0;1,E;0;1,E;;;0;,E;0;,E;0;,E;31;,E;23;,E;12.8;,E,02,;;;0.0;1,,E,31,+;36.1;,E,31,;0.0;E;0.0;,E;0.0;1,,,E;24.5;,E;33.2;,,,E;15.9;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2018-08;569.2;E;258.8;,E;1;,E;1;,E;;;0;,E;0;,E;0;,E;31;,E;31;,E;13.1;,E,26,;;;13.0;,,E,10,;40.5;,E,03,;0.0;E;0.0;,E;13.0;,,,E;26.7;,E;35.4;,,,E;17.9;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2018-09;727.5;E;158.3;,E;4;,E;3;,E;;;0;,E;0;,E;0;,E;30;,E;14;,E;11.6;,E,29,;;;5.8;,,E,17,;36.4;,E,02,;0.0;E;0.0;,E;15.0;,,,E;23.6;,E;31.5;,,,E;15.7;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2018-10;737.1;E;9.6;,E;13;,E;7;,E;;;0;,E;0;,E;0;,E;19;,E;0;,E;1.8;,E,29,;;;11.5;,,E,09,;29.5;,E,03,;108.1;E;108.1;,E;48.5;,,,E;15.2;,E;21.4;,,,E;8.9;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2018-11;737.1;E;0.0;,E;15;1,E;8;1,E;;;0;,E;1;,E;0;,E;0;,E;0;,E;-0.9;,E,29,;;;12.1;1,,E,18,;19.4;,E,02,;352.8;E;244.7;,E;56.0;1,,,E;10.2;,E;14.9;,,,E;5.5;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2018-12;737.1;E;0.0;,E;3;1,E;2;1,E;;;0;,E;13;,E;0;,E;0;,E;0;,E;-3.7;,E,31,;;;4.6;1,,E,13,;18.8;,E,05,;707.2;E;354.4;,E;9.0;1,,,E;6.9;,E;12.8;,,,E;1.0;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2019-01;0.0;E;0.0;,E;3;,E;3;,E;;;0;,E;24;,E;0;,E;0;,E;0;,E;-5.9;,E,13,+;;;5.6;,,E,31,;17.8;,E,07,;1107.5;E;400.3;,E;14.6;,,,E;5.4;,E;12.8;,,,E;-1.9;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2019-02;0.0;E;0.0;,E;1;,E;0;,E;;;0;,E;21;,E;0;,E;2;,E;0;,E;-4.4;,E,04,;;;0.5;,,E,01,;22.0;,E,26,;1402.5;E;295.0;,E;0.5;,,,E;7.8;,E;16.3;,,,E;-0.7;,,,E
SPE00120305;MADRID TORREJON, SP;40.4831;-3.4503;611.0;2019-03;0.0;E;0.0;,E;2;1,E;1;1,E;;;0;,E;6;,E;0;,E;8;,E;0;,E;-1.1;,E,22,;;;8.2;1,,E,06,;25.7;,E,16,;1633.5;E;231.0;,E;10.2;1,,,E;10.9;,E;19.3;,,,E;2.5;,,,E
